product_id,product_name,return_reason,product_category,order_count,return_count,total_refunded,avg_refund,return_rate_percent
775,"hardcover anthology","arrived damaged",books,44,4,1467.6,366.9,9.09
949,"modern anthology","changed mind",books,55,5,3950.96,790.19,9.09
1000,"hardcover anthology","no longer needed",books,55,5,4249.52,849.9,9.09
313,"illustrated guide","arrived damaged",books,67,6,1497.12,249.52,8.96
1252,"classic anthology","wrong item",books,67,6,7267.5,1211.25,8.96
986,"illustrated novel","wrong item",books,56,5,1090.62,218.12,8.93
989,"hardcover guide",defective,books,56,5,8915.28,1783.06,8.93
195,"classic guide","found a better price",books,45,4,3284.82,821.2,8.89
195,"classic guide","wrong item",books,45,4,5161.86,1290.46,8.89
312,"illustrated memoir","arrived damaged",books,45,4,2758.56,689.64,8.89
1220,"classic anthology","arrived damaged",books,45,4,2299.44,574.86,8.89
1236,"modern guide","changed mind",books,45,4,93.1,23.27,8.89
782,"hardcover guide","arrived damaged",books,57,5,592.93,118.59,8.77
249,"hardcover novel","arrived damaged",books,46,4,2408.4,602.1,8.7
249,"hardcover novel","wrong item",books,46,4,1505.25,376.31,8.7
255,"hardcover novel","changed mind",books,46,4,3441.15,860.29,8.7
255,"hardcover novel","no longer needed",books,46,4,4205.85,1051.46,8.7
415,"hardcover guide","found a better price",books,46,4,3195.72,798.93,8.7
764,"modern memoir","wrong item",books,58,5,5265.26,1053.05,8.62
291,"illustrated memoir","found a better price",books,47,4,1724.4,431.1,8.51
533,"modern memoir","wrong item",books,47,4,2089.2,522.3,8.51
809,"classic novel","wrong item",books,47,4,982.63,245.66,8.51
659,"illustrated anthology","arrived damaged",books,59,5,336.96,67.39,8.47
745,"hardcover novel","arrived damaged",books,59,5,1598.94,319.79,8.47
1037,"modern novel","wrong item",books,59,5,1173.04,234.61,8.47
325,"classic memoir","wrong item",books,60,5,692.86,138.57,8.33
434,"modern anthology","changed mind",books,48,4,2475.88,618.97,8.33
549,"modern anthology","wrong item",books,48,4,1507.55,376.89,8.33
876,"hardcover memoir","product did not match description",books,48,4,1948.2,487.05,8.33
876,"hardcover memoir","wrong item",books,48,4,1461.15,365.29,8.33
920,"modern anthology","changed mind",books,48,4,4393.3,1098.33,8.33
1169,"illustrated guide","changed mind",books,48,4,3073.42,768.36,8.33
1169,"illustrated guide",defective,books,48,4,2195.3,548.83,8.33
175,"hardcover guide","found a better price",books,61,5,2904.44,580.89,8.2
293,"illustrated memoir","product did not match description",books,49,4,3515.28,878.82,8.16
349,"illustrated anthology","wrong item",books,49,4,3626.55,906.64,8.16
430,"hardcover novel","arrived damaged",books,49,4,3352.72,838.18,8.16
625,"modern novel","arrived damaged",books,49,4,433.52,108.38,8.16
1229,"illustrated novel","arrived damaged",books,49,4,930.15,232.54,8.16
1229,"illustrated novel",defective,books,49,4,1550.25,387.56,8.16
1272,"modern memoir","no longer needed",books,49,4,4332.0,1083.0,8.16
384,"classic guide","arrived damaged",books,37,3,3822.48,1274.16,8.11
384,"classic guide","changed mind",books,37,3,3822.48,1274.16,8.11
510,"hardcover anthology","product did not match description",books,62,5,8428.32,1685.66,8.06
401,"hardcover novel","wrong item",books,50,4,2711.8,677.95,8.0
35,"classic guide","changed mind",books,38,3,2753.28,917.76,7.89
35,"classic guide","found a better price",books,38,3,2447.36,815.79,7.89
40,"hardcover novel","product did not match description",books,38,3,3495.36,1165.12,7.89
743,"hardcover memoir",defective,books,38,3,2626.8,875.6,7.89
544,"classic guide","arrived damaged",books,51,4,640.71,160.18,7.84
736,"classic guide","wrong item",books,51,4,46.08,11.52,7.84
813,"modern anthology",defective,books,51,4,2521.31,630.33,7.84
1056,"illustrated guide","wrong item",books,51,4,2377.5,594.38,7.84
9,"hardcover anthology","no longer needed",books,52,4,1399.62,349.9,7.69
50,"illustrated guide","changed mind",books,39,3,1859.69,619.9,7.69
50,"illustrated guide",defective,books,39,3,1328.35,442.78,7.69
51,"illustrated novel","wrong item",books,52,4,1667.36,416.84,7.69
73,"modern memoir","changed mind",books,52,4,2666.52,666.63,7.69
275,"classic memoir","item arrived late",books,52,4,6922.35,1730.59,7.69
1081,"classic anthology",defective,books,52,4,3338.64,834.66,7.69
1081,"classic anthology","wrong item",books,52,4,4173.3,1043.33,7.69
1112,"classic guide","found a better price",books,66,5,4782.7,956.54,7.58
1134,"illustrated memoir","arrived damaged",books,66,5,548.93,109.79,7.58
353,"classic novel","wrong item",books,53,4,2693.6,673.4,7.55
539,"hardcover anthology","product did not match description",books,53,4,3186.04,796.51,7.55
552,"hardcover anthology","wrong item",books,53,4,1970.08,492.52,7.55
691,"modern novel","product did not match description",books,53,4,2086.26,521.56,7.55
893,"classic novel","arrived damaged",books,53,4,451.62,112.91,7.55
893,"classic novel","product did not match description",books,53,4,382.14,95.53,7.55
918,"hardcover memoir","arrived damaged",books,53,4,2166.0,541.5,7.55
1003,"classic guide","arrived damaged",books,53,4,1232.32,308.08,7.55
370,"modern guide","arrived damaged",books,40,3,1994.75,664.92,7.5
370,"modern guide","changed mind",books,40,3,1994.75,664.92,7.5
370,"modern guide","wrong item",books,40,3,3191.6,1063.87,7.5
566,"hardcover memoir","found a better price",books,40,3,1857.84,619.28,7.5
851,"illustrated anthology","found a better price",books,40,3,4292.1,1430.7,7.5
851,"illustrated anthology","wrong item",books,40,3,3338.3,1112.77,7.5
950,"modern novel","wrong item",books,40,3,2934.03,978.01,7.5
313,"illustrated guide",defective,books,67,5,561.42,112.28,7.46
1252,"classic anthology",defective,books,67,5,6885.0,1377.0,7.46
296,"hardcover novel","found a better price",books,54,4,3461.37,865.34,7.41
166,"modern guide",defective,books,41,3,1538.4,512.8,7.32
428,"hardcover memoir","wrong item",books,41,3,61.32,20.44,7.32
504,"hardcover anthology","changed mind",books,41,3,3083.76,1027.92,7.32
1210,"classic memoir","changed mind",books,41,3,1655.71,551.9,7.32
84,"modern memoir","changed mind",books,55,4,4441.86,1110.46,7.27
1000,"hardcover anthology",defective,books,55,4,4249.52,1062.38,7.27
1000,"hardcover anthology","wrong item",books,55,4,1545.28,386.32,7.27
150,"classic anthology","changed mind",books,56,4,3820.2,955.05,7.14
260,"illustrated guide",defective,books,42,3,368.83,122.94,7.14
260,"illustrated guide","wrong item",books,42,3,632.28,210.76,7.14
264,"hardcover novel","product did not match description",books,56,4,2089.85,522.46,7.14
733,"hardcover memoir",defective,books,56,4,4751.16,1187.79,7.14
744,"modern guide",defective,books,42,3,121.6,40.53,7.14
803,"illustrated novel","no longer needed",books,42,3,2645.58,881.86,7.14
848,"modern anthology","changed mind",books,56,4,6700.5,1675.13,7.14
848,"modern anthology","wrong item",books,56,4,4467.0,1116.75,7.14
986,"illustrated novel","changed mind",books,56,4,969.44,242.36,7.14
1111,"modern memoir","wrong item",books,56,4,2496.66,624.16,7.14
1224,"modern guide","changed mind",books,42,3,1828.53,609.51,7.14
100,"hardcover anthology","wrong item",books,57,4,2242.4,560.6,7.02
937,"modern guide","arrived damaged",books,57,4,3026.32,756.58,7.02
937,"modern guide","no longer needed",books,57,4,3301.44,825.36,7.02
307,"hardcover novel","changed mind",books,43,3,425.76,141.92,6.98
89,"classic novel","arrived damaged",books,58,4,2483.5,620.88,6.9
192,"hardcover novel","arrived damaged",books,58,4,3381.75,845.44,6.9
192,"hardcover novel","wrong item",books,58,4,5260.5,1315.13,6.9
236,"illustrated guide",defective,books,58,4,2125.1,531.27,6.9
310,"classic memoir","arrived damaged",books,58,4,3690.72,922.68,6.9
310,"classic memoir","wrong item",books,58,4,1845.36,461.34,6.9
954,"classic anthology","wrong item",books,58,4,3967.18,991.79,6.9
169,"hardcover memoir",defective,books,44,3,2122.5,707.5,6.82
169,"hardcover memoir","found a better price",books,44,3,4669.5,1556.5,6.82
169,"hardcover memoir","product did not match description",books,44,3,1273.5,424.5,6.82
366,"illustrated guide","arrived damaged",books,44,3,2258.34,752.78,6.82
854,"hardcover guide","wrong item",books,44,3,1604.35,534.78,6.82
1215,"hardcover memoir",defective,books,44,3,170.1,56.7,6.82
1215,"hardcover memoir","no longer needed",books,44,3,170.1,56.7,6.82
1245,"modern memoir","wrong item",books,44,3,963.0,321.0,6.82
745,"hardcover novel","changed mind",books,59,4,1776.6,444.15,6.78
900,"hardcover novel","product did not match description",books,59,4,5346.4,1336.6,6.78
995,"modern anthology","found a better price",books,59,4,2291.24,572.81,6.78
1037,"modern novel",defective,books,59,4,879.78,219.94,6.78
1172,"modern memoir","changed mind",books,59,4,2657.43,664.36,6.78
45,"classic memoir","changed mind",books,45,3,1388.73,462.91,6.67
45,"classic memoir","product did not match description",books,45,3,991.95,330.65,6.67
589,"illustrated anthology","changed mind",books,45,3,2586.42,862.14,6.67
620,"classic novel",defective,books,45,3,414.89,138.3,6.67
911,"illustrated anthology","product did not match description",books,60,4,563.36,140.84,6.67
911,"illustrated anthology","wrong item",books,60,4,985.88,246.47,6.67
927,"hardcover memoir","wrong item",books,45,3,5094.57,1698.19,6.67
1119,"classic novel","arrived damaged",books,60,4,2065.86,516.47,6.67
1119,"classic novel","product did not match description",books,60,4,2754.48,688.62,6.67
1127,"modern anthology","no longer needed",books,45,3,1993.44,664.48,6.67
1171,"illustrated anthology","arrived damaged",books,45,3,5331.12,1777.04,6.67
1171,"illustrated anthology",defective,books,45,3,2665.56,888.52,6.67
1171,"illustrated anthology","product did not match description",books,45,3,3109.82,1036.61,6.67
1187,"hardcover anthology","arrived damaged",books,45,3,1529.75,509.92,6.67
1187,"hardcover anthology",defective,books,45,3,2447.6,815.87,6.67
1220,"classic anthology","found a better price",books,45,3,2299.44,766.48,6.67
1236,"modern guide","arrived damaged",books,45,3,111.72,37.24,6.67
1236,"modern guide","found a better price",books,45,3,65.17,21.72,6.67
1236,"modern guide","wrong item",books,45,3,83.79,27.93,6.67
153,"classic anthology","changed mind",books,46,3,1062.18,354.06,6.52
249,"hardcover novel","changed mind",books,46,3,2709.45,903.15,6.52
255,"hardcover novel","product did not match description",books,46,3,1911.75,637.25,6.52
317,"illustrated anthology","changed mind",books,46,3,5050.2,1683.4,6.52
415,"hardcover guide",defective,books,46,3,2130.48,710.16,6.52
1010,"modern anthology","arrived damaged",books,46,3,2138.57,712.86,6.52
1010,"modern anthology","found a better price",books,46,3,2444.08,814.69,6.52
1041,"classic novel","product did not match description",books,46,3,308.99,103.0,6.52
1121,"illustrated novel","wrong item",books,46,3,275.22,91.74,6.52
1218,"illustrated guide","found a better price",books,46,3,4121.28,1373.76,6.52
1254,"hardcover novel",defective,books,46,3,2460.24,820.08,6.52
477,"classic novel","wrong item",books,62,4,3465.0,866.25,6.45
510,"hardcover anthology","found a better price",books,62,4,3745.92,936.48,6.45
47,"modern guide",defective,books,47,3,1494.85,498.28,6.38
47,"modern guide","product did not match description",books,47,3,1281.3,427.1,6.38
533,"modern memoir","arrived damaged",books,47,3,835.68,278.56,6.38
567,"hardcover memoir","no longer needed",books,47,3,999.6,333.2,6.38
1135,"modern anthology","arrived damaged",books,47,3,39.6,13.2,6.38
1280,"modern guide","arrived damaged",books,47,3,2563.54,854.51,6.38
838,"classic novel","wrong item",books,63,4,4636.06,1159.01,6.35
547,"illustrated anthology",defective,books,79,5,3353.76,670.75,6.33
77,"illustrated anthology","arrived damaged",books,64,4,3132.8,783.2,6.25
434,"modern anthology","wrong item",books,48,3,2025.72,675.24,6.25
720,"modern memoir","changed mind",books,48,3,3202.78,1067.59,6.25
720,"modern memoir","found a better price",books,48,3,2287.7,762.57,6.25
720,"modern memoir","wrong item",books,48,3,2745.24,915.08,6.25
876,"hardcover memoir","changed mind",books,48,3,649.4,216.47,6.25
876,"hardcover memoir","found a better price",books,48,3,1136.45,378.82,6.25
1005,"classic anthology","no longer needed",books,64,4,4340.38,1085.1,6.25
1233,"classic anthology","found a better price",books,48,3,2572.92,857.64,6.25
333,"illustrated anthology","arrived damaged",books,65,4,3810.84,952.71,6.15
333,"illustrated anthology","no longer needed",books,65,4,3810.84,952.71,6.15
5,"illustrated guide","arrived damaged",books,49,3,3208.2,1069.4,6.12
5,"illustrated guide","wrong item",books,49,3,2673.5,891.17,6.12
48,"classic memoir","found a better price",books,49,3,3481.59,1160.53,6.12
152,"illustrated anthology","arrived damaged",books,49,3,691.81,230.6,6.12
152,"illustrated anthology","no longer needed",books,49,3,889.47,296.49,6.12
152,"illustrated anthology","wrong item",books,49,3,592.98,197.66,6.12
256,"classic guide",defective,books,49,3,1106.27,368.76,6.12
256,"classic guide","wrong item",books,49,3,402.28,134.09,6.12
288,"hardcover guide",defective,books,49,3,1241.16,413.72,6.12
349,"illustrated anthology","product did not match description",books,49,3,1611.8,537.27,6.12
470,"modern novel","changed mind",books,49,3,1321.36,440.45,6.12
470,"modern novel","wrong item",books,49,3,1321.36,440.45,6.12
515,"modern memoir",defective,books,49,3,5027.44,1675.81,6.12
1227,"classic memoir","arrived damaged",books,49,3,2226.42,742.14,6.12
1272,"modern memoir",defective,books,49,3,4332.0,1444.0,6.12
1272,"modern memoir","wrong item",books,49,3,3898.8,1299.6,6.12
466,"hardcover memoir","found a better price",books,33,2,1788.2,894.1,6.06
466,"hardcover memoir","product did not match description",books,33,2,1072.92,536.46,6.06
1112,"classic guide","changed mind",books,66,4,4046.9,1011.72,6.06
1134,"illustrated memoir","changed mind",books,66,4,322.9,80.72,6.06
1134,"illustrated memoir","found a better price",books,66,4,419.77,104.94,6.06
1134,"illustrated memoir","wrong item",books,66,4,419.77,104.94,6.06
401,"hardcover novel",defective,books,50,3,774.8,258.27,6.0
479,"classic memoir","no longer needed",books,50,3,2261.55,753.85,6.0
656,"modern memoir",defective,books,50,3,1176.15,392.05,6.0
810,"classic novel","arrived damaged",books,50,3,1358.07,452.69,6.0
892,"modern anthology","changed mind",books,50,3,2253.06,751.02,6.0
1091,"classic novel","wrong item",books,50,3,1475.24,491.75,6.0
1139,"modern guide","no longer needed",books,50,3,180.3,60.1,6.0
1139,"modern guide","wrong item",books,50,3,180.3,60.1,6.0
1246,"classic memoir","arrived damaged",books,50,3,5454.12,1818.04,6.0
713,"illustrated novel","no longer needed",books,67,4,3091.32,772.83,5.97
18,"hardcover guide","arrived damaged",books,34,2,481.95,240.97,5.88
18,"hardcover guide","wrong item",books,34,2,137.7,68.85,5.88
171,"modern anthology","arrived damaged",books,51,3,1040.88,346.96,5.88
171,"modern anthology",defective,books,51,3,3122.64,1040.88,5.88
527,"modern guide","changed mind",books,68,4,499.1,124.78,5.88
527,"modern guide","found a better price",books,68,4,399.28,99.82,5.88
700,"modern guide","found a better price",books,51,3,3491.44,1163.81,5.88
700,"modern guide","wrong item",books,51,3,3927.87,1309.29,5.88
783,"modern guide","changed mind",books,51,3,1731.03,577.01,5.88
813,"modern anthology","wrong item",books,51,3,1604.47,534.82,5.88
823,"illustrated guide","product did not match description",books,51,3,799.04,266.35,5.88
823,"illustrated guide","wrong item",books,51,3,799.04,266.35,5.88
837,"hardcover novel","arrived damaged",books,51,3,219.12,73.04,5.88
837,"hardcover novel","found a better price",books,51,3,136.95,45.65,5.88
837,"hardcover novel","wrong item",books,51,3,219.12,73.04,5.88
909,"illustrated memoir","item arrived late",books,51,3,2170.08,723.36,5.88
1095,"classic memoir",defective,books,51,3,178.95,59.65,5.88
1141,"illustrated anthology","changed mind",books,51,3,844.8,281.6,5.88
1142,"classic anthology","arrived damaged",books,51,3,3984.4,1328.13,5.88
1175,"illustrated anthology",defective,books,51,3,1282.4,427.47,5.88
1175,"illustrated anthology","no longer needed",books,51,3,916.0,305.33,5.88
1175,"illustrated anthology","wrong item",books,51,3,1648.8,549.6,5.88
1219,"hardcover guide","changed mind",books,34,2,847.88,423.94,5.88
1219,"hardcover guide","found a better price",books,34,2,1271.82,635.91,5.88
73,"modern memoir",defective,books,52,3,2370.24,790.08,5.77
73,"modern memoir","found a better price",books,52,3,2370.24,790.08,5.77
103,"illustrated memoir","arrived damaged",books,52,3,1856.3,618.77,5.77
266,"hardcover guide","arrived damaged",books,52,3,289.62,96.54,5.77
275,"classic memoir","no longer needed",books,52,3,2307.45,769.15,5.77
275,"classic memoir","product did not match description",books,52,3,1845.96,615.32,5.77
275,"classic memoir","wrong item",books,52,3,3691.92,1230.64,5.77
455,"modern novel","arrived damaged",books,52,3,2590.44,863.48,5.77
455,"modern novel",defective,books,52,3,2158.7,719.57,5.77
505,"illustrated memoir",defective,books,52,3,4165.59,1388.53,5.77
617,"illustrated anthology",defective,books,52,3,2099.07,699.69,5.77
655,"modern novel","wrong item",books,52,3,4441.05,1480.35,5.77
836,"hardcover guide","arrived damaged",books,52,3,4152.87,1384.29,5.77
1035,"hardcover novel","changed mind",books,52,3,172.24,57.41,5.77
99,"hardcover anthology","arrived damaged",books,53,3,2335.77,778.59,5.66
99,"hardcover anthology","changed mind",books,53,3,1816.71,605.57,5.66
353,"classic novel","found a better price",books,53,3,4713.8,1571.27,5.66
362,"classic anthology","wrong item",books,53,3,732.16,244.05,5.66
539,"hardcover anthology",defective,books,53,3,1715.56,571.85,5.66
552,"hardcover anthology","arrived damaged",books,53,3,1547.92,515.97,5.66
552,"hardcover anthology","item arrived late",books,53,3,985.04,328.35,5.66
586,"hardcover anthology","changed mind",books,53,3,1964.88,654.96,5.66
639,"classic novel","changed mind",books,53,3,1839.4,613.13,5.66
649,"classic anthology","changed mind",books,53,3,2199.26,733.09,5.66
649,"classic anthology","found a better price",books,53,3,1885.08,628.36,5.66
845,"illustrated memoir","changed mind",books,53,3,1533.49,511.16,5.66
845,"illustrated memoir","found a better price",books,53,3,1095.35,365.12,5.66
893,"classic novel","wrong item",books,53,3,382.14,127.38,5.66
918,"hardcover memoir","changed mind",books,53,3,1263.5,421.17,5.66
1003,"classic guide","changed mind",books,53,3,1078.28,359.43,5.66
1003,"classic guide",defective,books,53,3,924.24,308.08,5.66
1003,"classic guide","found a better price",books,53,3,924.24,308.08,5.66
1055,"hardcover novel","no longer needed",books,53,3,2559.24,853.08,5.66
98,"illustrated memoir","wrong item",books,54,3,34.32,11.44,5.56
221,"hardcover guide","changed mind",books,54,3,1756.9,585.63,5.56
323,"hardcover guide","arrived damaged",books,54,3,3508.32,1169.44,5.56
396,"modern guide","wrong item",books,54,3,1771.2,590.4,5.56
473,"hardcover memoir","arrived damaged",books,54,3,1911.3,637.1,5.56
473,"hardcover memoir","changed mind",books,54,3,1720.17,573.39,5.56
473,"hardcover memoir","found a better price",books,54,3,764.52,254.84,5.56
558,"modern novel","arrived damaged",books,54,3,1351.44,450.48,5.56
558,"modern novel","no longer needed",books,54,3,900.96,300.32,5.56
652,"classic anthology",defective,books,36,2,932.79,466.39,5.56
652,"classic anthology","found a better price",books,36,2,621.86,310.93,5.56
852,"classic anthology","arrived damaged",books,54,3,1971.8,657.27,5.56
852,"classic anthology","changed mind",books,54,3,1380.26,460.09,5.56
852,"classic anthology","wrong item",books,54,3,1774.62,591.54,5.56
84,"modern memoir","product did not match description",books,55,3,2467.7,822.57,5.45
233,"hardcover guide","found a better price",books,55,3,2177.0,725.67,5.45
233,"hardcover guide","wrong item",books,55,3,1306.2,435.4,5.45
238,"classic anthology",defective,books,55,3,1491.21,497.07,5.45
238,"classic anthology","found a better price",books,55,3,994.14,331.38,5.45
402,"illustrated novel","changed mind",books,55,3,179.4,59.8,5.45
402,"illustrated novel","no longer needed",books,55,3,299.0,99.67,5.45
580,"classic guide","arrived damaged",books,55,3,3577.05,1192.35,5.45
580,"classic guide",defective,books,55,3,3179.6,1059.87,5.45
580,"classic guide","wrong item",books,55,3,3179.6,1059.87,5.45
676,"classic guide",defective,books,55,3,1350.0,450.0,5.45
676,"classic guide","item arrived late",books,55,3,1755.0,585.0,5.45
949,"modern anthology","arrived damaged",books,55,3,1975.48,658.49,5.45
1000,"hardcover anthology","arrived damaged",books,55,3,4635.84,1545.28,5.45
1089,"modern novel","wrong item",books,55,3,1498.6,499.53,5.45
1128,"classic novel","arrived damaged",books,55,3,2891.52,963.84,5.45
1128,"classic novel","product did not match description",books,55,3,2891.52,963.84,5.45
1279,"classic guide","product did not match description",books,55,3,803.25,267.75,5.45
1279,"classic guide","wrong item",books,55,3,963.9,321.3,5.45
1286,"modern memoir","found a better price",books,55,3,3202.8,1067.6,5.45
384,"classic guide","found a better price",books,37,2,2548.32,1274.16,5.41
384,"classic guide","no longer needed",books,37,2,2548.32,1274.16,5.41
384,"classic guide","product did not match description",books,37,2,2548.32,1274.16,5.41
150,"classic anthology",defective,books,56,3,1910.1,636.7,5.36
264,"hardcover novel",defective,books,56,3,1492.75,497.58,5.36
443,"modern novel","arrived damaged",books,56,3,3132.64,1044.21,5.36
540,"modern guide","arrived damaged",books,56,3,4786.3,1595.43,5.36
540,"modern guide",defective,books,56,3,3350.41,1116.8,5.36
540,"modern guide","wrong item",books,56,3,1435.89,478.63,5.36
733,"hardcover memoir","found a better price",books,56,3,5543.02,1847.67,5.36
986,"illustrated novel","found a better price",books,56,3,605.9,201.97,5.36
986,"illustrated novel","item arrived late",books,56,3,605.9,201.97,5.36
989,"hardcover guide","product did not match description",books,56,3,3241.92,1080.64,5.36
1111,"modern memoir","found a better price",books,56,3,2496.66,832.22,5.36
1111,"modern memoir","no longer needed",books,56,3,2080.55,693.52,5.36
7,"illustrated memoir","product did not match description",books,57,3,2540.65,846.88,5.26
35,"classic guide","wrong item",books,38,2,1529.6,764.8,5.26
40,"hardcover novel","wrong item",books,38,2,1456.4,728.2,5.26
100,"hardcover anthology","arrived damaged",books,57,3,2690.88,896.96,5.26
100,"hardcover anthology","changed mind",books,57,3,1569.68,523.23,5.26
100,"hardcover anthology",defective,books,57,3,1121.2,373.73,5.26
106,"classic anthology","wrong item",books,57,3,2138.9,712.97,5.26
196,"classic guide","changed mind",books,38,2,643.0,321.5,5.26
196,"classic guide","found a better price",books,38,2,1286.0,643.0,5.26
196,"classic guide","wrong item",books,38,2,1286.0,643.0,5.26
743,"hardcover memoir","found a better price",books,38,2,1576.08,788.04,5.26
89,"classic novel","wrong item",books,58,3,1490.1,496.7,5.17
102,"classic guide","product did not match description",books,58,3,1386.0,462.0,5.17
102,"classic guide","wrong item",books,58,3,3326.4,1108.8,5.17
107,"modern memoir","changed mind",books,58,3,3272.92,1090.97,5.17
107,"modern memoir","product did not match description",books,58,3,3272.92,1090.97,5.17
107,"modern memoir","wrong item",books,58,3,5610.72,1870.24,5.17
310,"classic memoir","item arrived late",books,58,3,2152.92,717.64,5.17
310,"classic memoir","no longer needed",books,58,3,3690.72,1230.24,5.17
668,"illustrated anthology","found a better price",books,58,3,1030.96,343.65,5.17
668,"illustrated anthology","wrong item",books,58,3,3092.88,1030.96,5.17
685,"modern guide","arrived damaged",books,58,3,1119.5,373.17,5.17
685,"modern guide","found a better price",books,58,3,671.7,223.9,5.17
685,"modern guide","wrong item",books,58,3,335.85,111.95,5.17
764,"modern memoir","arrived damaged",books,58,3,1504.36,501.45,5.17
764,"modern memoir",defective,books,58,3,3760.9,1253.63,5.17
907,"modern memoir","wrong item",books,58,3,578.16,192.72,5.17
954,"classic anthology","changed mind",books,58,3,1416.85,472.28,5.17
994,"modern anthology","changed mind",books,39,2,1324.5,662.25,5.13
994,"modern anthology","wrong item",books,39,2,1545.25,772.63,5.13
239,"hardcover memoir",defective,books,59,3,1744.47,581.49,5.08
659,"illustrated anthology","changed mind",books,59,3,224.64,74.88,5.08
723,"hardcover novel","changed mind",books,59,3,988.4,329.47,5.08
745,"hardcover novel","found a better price",books,59,3,1598.94,532.98,5.08
900,"hardcover novel","changed mind",books,59,3,2673.2,891.07,5.08
900,"hardcover novel","found a better price",books,59,3,2673.2,891.07,5.08
915,"hardcover memoir","product did not match description",books,59,3,1840.14,613.38,5.08
995,"modern anthology","wrong item",books,59,3,2618.56,872.85,5.08
547,"illustrated anthology","changed mind",books,79,4,1490.56,372.64,5.06
547,"illustrated anthology","wrong item",books,79,4,2235.84,558.96,5.06
101,"hardcover guide","found a better price",books,60,3,1987.86,662.62,5.0
101,"hardcover guide","wrong item",books,60,3,2319.17,773.06,5.0
232,"classic memoir",defective,books,40,2,1208.28,604.14,5.0
232,"classic memoir","no longer needed",books,40,2,1611.04,805.52,5.0
