return_id,order_id,customer_id,reason,return_date,refunded_amount
RET-62656451,SO-34722080,CUST-4365,"arrived damaged",2025-04-01,78.68
RET-66582112,SO-34831241,CUST-4645,"arrived damaged",2025-01-02,6419.37
RET-85993424,SO-35677607,CUST-4850,"arrived damaged",2025-05-16,3833.98
RET-32143353,SO-35768461,CUST-5001,"arrived damaged",2025-07-17,9310.36
RET-05418447,SO-36185283,CUST-5258,"arrived damaged",2025-03-10,1551.3
RET-62558526,SO-36195458,CUST-4544,"arrived damaged",2025-01-22,5954.38
RET-45585136,SO-36258286,CUST-3911,"arrived damaged",2025-07-15,352.42
RET-03666850,SO-36483280,CUST-4104,"arrived damaged",2025-03-23,4432.68
RET-92741066,SO-36500527,CUST-4688,"arrived damaged",2024-12-01,3854.06
RET-23936285,SO-36764465,CUST-4962,"arrived damaged",2025-02-26,1852.75
RET-42150956,SO-36909186,CUST-4655,"arrived damaged",2024-10-29,1709.98
RET-96372091,SO-37206678,CUST-4582,"arrived damaged",2025-02-10,8187.29
RET-45420227,SO-37268649,CUST-4064,"arrived damaged",2024-08-31,880.54
RET-45799124,SO-37407912,CUST-4358,"arrived damaged",2025-02-05,5228.41
RET-27966522,SO-37508855,CUST-3975,"arrived damaged",2025-02-09,270.0
RET-19498775,SO-37634852,CUST-4414,"arrived damaged",2025-06-02,3892.33
RET-37232841,SO-37945018,CUST-3858,"arrived damaged",2024-11-12,386.79
RET-83868000,SO-37953697,CUST-5199,"arrived damaged",2024-09-13,9120.94
RET-20945479,SO-38169815,CUST-4675,"arrived damaged",2024-11-27,3363.44
RET-79431567,SO-38518277,GUEST-100042,"arrived damaged",2024-12-18,1864.07
RET-94468370,SO-38705472,CUST-4928,"arrived damaged",2024-12-06,2138.77
RET-10047308,SO-39920917,CUST-4495,"arrived damaged",2024-08-26,4608.56
RET-63723721,SO-40109030,CUST-3597,"arrived damaged",2025-03-13,2475.31
RET-23242730,SO-40112233,CUST-4435,"arrived damaged",2024-11-27,1427.14
RET-86919107,SO-40248920,CUST-5267,"arrived damaged",2024-09-26,2259.35
RET-70385240,SO-40363439,CUST-3896,"arrived damaged",2025-05-21,617.1
RET-62867200,SO-41562077,CUST-4032,"arrived damaged",2025-07-06,5016.03
RET-93775352,SO-41649103,CUST-5255,"arrived damaged",2025-04-29,1722.69
RET-99585729,SO-42070424,GUEST-101172,"arrived damaged",2024-09-10,2776.24
RET-62706561,SO-42351058,CUST-4148,"arrived damaged",2024-09-09,173.07
RET-41241452,SO-42450483,CUST-5230,"arrived damaged",2024-12-20,463.68
RET-47344712,SO-42652095,CUST-5232,"arrived damaged",2024-10-22,3150.75
RET-45731141,SO-43078125,CUST-4132,"arrived damaged",2024-10-04,2320.29
RET-39324890,SO-43377447,CUST-4198,"arrived damaged",2025-01-12,2416.39
RET-74454357,SO-43596921,CUST-4569,"arrived damaged",2025-06-22,1687.92
RET-98411466,SO-44154559,CUST-3562,"arrived damaged",2024-09-24,719.91
RET-50232467,SO-44165510,CUST-4862,"arrived damaged",2024-11-22,2102.8
RET-23083984,SO-44292641,CUST-4334,"arrived damaged",2024-08-23,3011.13
RET-90603767,SO-44429542,CUST-3579,"arrived damaged",2024-09-15,1274.21
RET-46566866,SO-44591590,CUST-4105,"arrived damaged",2024-11-20,1947.13
RET-64733934,SO-44605528,CUST-4258,"arrived damaged",2025-05-12,2296.27
RET-07676110,SO-44713310,CUST-4415,"arrived damaged",2025-05-24,2816.78
RET-07800865,SO-44959078,GUEST-100448,"arrived damaged",2024-12-14,387.18
RET-62593463,SO-45054693,CUST-4502,"arrived damaged",2024-08-27,5136.93
RET-74185508,SO-45081270,GUEST-101011,"arrived damaged",2025-07-16,6532.44
RET-16236609,SO-45472171,CUST-4241,"arrived damaged",2024-11-19,2146.09
RET-10638985,SO-46309353,CUST-5255,"arrived damaged",2024-10-25,9063.23
RET-67953948,SO-46418135,CUST-5245,"arrived damaged",2025-06-16,2479.45
RET-33180832,SO-46531053,CUST-4152,"arrived damaged",2024-10-03,2099.38
RET-94575702,SO-46585714,CUST-4928,"arrived damaged",2025-07-08,5969.01
RET-83969833,SO-47408710,CUST-4454,"arrived damaged",2025-03-08,3068.08
RET-03666544,SO-47527986,GUEST-100649,"arrived damaged",2025-01-12,5543.67
RET-35849434,SO-47758287,CUST-5011,"arrived damaged",2025-06-08,7848.61
RET-06930370,SO-48337410,CUST-3691,"arrived damaged",2025-04-10,4386.34
RET-10346795,SO-49220366,GUEST-100892,"arrived damaged",2025-06-22,1812.47
RET-49954759,SO-49310102,CUST-4456,"arrived damaged",2025-01-04,993.35
RET-80339090,SO-49619009,CUST-3853,"arrived damaged",2024-12-30,2214.75
RET-46582900,SO-49622427,GUEST-100601,"arrived damaged",2025-01-19,186.07
RET-27061323,SO-50315409,GUEST-100690,"arrived damaged",2025-07-06,754.08
RET-90853724,SO-50534377,CUST-4074,"arrived damaged",2025-02-04,3297.52
RET-62841760,SO-50938563,CUST-4910,"arrived damaged",2025-07-07,3762.61
RET-35943270,SO-51026430,CUST-4815,"arrived damaged",2024-09-18,893.99
RET-43314352,SO-51193885,CUST-3714,"arrived damaged",2024-09-28,2624.37
RET-67147966,SO-51267591,CUST-4053,"arrived damaged",2025-04-29,7573.58
RET-37136419,SO-51718689,CUST-3607,"arrived damaged",2024-12-23,915.97
RET-90316074,SO-51818338,CUST-4256,"arrived damaged",2025-04-12,748.41
RET-45605301,SO-52113047,CUST-4891,"arrived damaged",2025-02-07,2348.81
RET-55325001,SO-52160294,CUST-4880,"arrived damaged",2025-05-21,5595.6
RET-61247400,SO-52165464,CUST-4047,"arrived damaged",2024-10-06,6650.08
RET-27417330,SO-52435421,CUST-4230,"arrived damaged",2025-01-22,1480.44
RET-05229737,SO-52460673,CUST-3639,"arrived damaged",2024-12-30,1482.59
RET-85287233,SO-53101050,CUST-4497,"arrived damaged",2025-07-06,4578.24
RET-78550757,SO-53294458,GUEST-101260,"arrived damaged",2024-08-12,5886.3
RET-95424208,SO-53566582,CUST-4453,"arrived damaged",2024-10-01,976.87
RET-28736300,SO-54021368,CUST-5273,"arrived damaged",2025-01-06,441.55
RET-60890045,SO-54099705,CUST-4667,"arrived damaged",2025-07-20,9299.86
RET-46948806,SO-54218801,CUST-4582,"arrived damaged",2024-10-13,3161.38
RET-15525903,SO-54251090,CUST-3776,"arrived damaged",2025-05-27,2702.88
RET-90947604,SO-54505261,CUST-4925,"arrived damaged",2024-11-08,7805.75
RET-30756160,SO-54809671,CUST-4505,"arrived damaged",2025-04-01,6590.27
RET-18979262,SO-54902482,CUST-4933,"arrived damaged",2025-04-27,1367.31
RET-77930473,SO-55208246,CUST-3574,"arrived damaged",2025-05-25,433.76
RET-38178773,SO-55369624,GUEST-100805,"arrived damaged",2025-04-15,4046.02
RET-18232948,SO-55963938,CUST-3960,"arrived damaged",2025-01-29,4244.89
RET-34340354,SO-55972382,GUEST-100071,"arrived damaged",2024-12-29,5558.06
RET-04001327,SO-56193556,CUST-3574,"arrived damaged",2025-07-20,6009.64
RET-33174968,SO-56259793,CUST-3987,"arrived damaged",2024-08-19,3290.68
RET-16567002,SO-56265770,GUEST-100167,"arrived damaged",2024-12-21,3390.02
RET-80451319,SO-56488310,CUST-4999,"arrived damaged",2024-11-03,2108.07
RET-22559622,SO-56697853,CUST-4166,"arrived damaged",2025-01-11,1449.48
RET-15743174,SO-56910903,CUST-5231,"arrived damaged",2025-02-13,705.78
RET-62694603,SO-57010065,CUST-5221,"arrived damaged",2025-03-29,2530.07
RET-97260481,SO-57025753,CUST-3694,"arrived damaged",2024-09-16,395.48
RET-67454053,SO-57236051,CUST-4591,"arrived damaged",2024-12-11,7296.98
RET-83616338,SO-57782893,CUST-4145,"arrived damaged",2024-09-19,4454.64
RET-05778725,SO-57864557,CUST-3898,"arrived damaged",2025-02-28,1212.0
RET-79957898,SO-58079487,CUST-5284,"arrived damaged",2024-12-14,2809.99
RET-08149628,SO-58429975,CUST-5190,"arrived damaged",2025-01-14,2918.77
RET-57555262,SO-58610411,CUST-4717,"arrived damaged",2025-07-09,4982.04
RET-13694197,SO-58926030,CUST-3678,"arrived damaged",2024-08-31,1462.05
RET-76847055,SO-58997647,CUST-4894,"arrived damaged",2024-09-24,1244.32
RET-31580520,SO-59174542,CUST-3445,"arrived damaged",2025-04-25,4107.92
RET-97100107,SO-59260526,CUST-5137,"arrived damaged",2024-09-06,1306.09
RET-47101261,SO-59384704,CUST-4417,"arrived damaged",2025-07-20,310.53
RET-17519037,SO-60103289,CUST-3553,"arrived damaged",2025-03-06,3416.37
RET-40883925,SO-60379112,CUST-4926,"arrived damaged",2025-02-22,1421.85
RET-29758173,SO-60494077,CUST-5061,"arrived damaged",2024-10-24,4336.48
RET-27047694,SO-60800406,CUST-3547,"arrived damaged",2024-08-30,64.36
RET-65595432,SO-60888363,CUST-4548,"arrived damaged",2025-01-26,841.47
RET-55894695,SO-61064797,CUST-4060,"arrived damaged",2025-03-12,3317.53
RET-77605458,SO-61161358,CUST-4594,"arrived damaged",2025-04-14,6940.95
RET-76745323,SO-61332567,CUST-4435,"arrived damaged",2025-05-14,1676.52
RET-15541566,SO-61620148,GUEST-100273,"arrived damaged",2025-02-06,6721.84
RET-48441931,SO-61683804,CUST-3596,"arrived damaged",2024-10-30,239.06
RET-22887272,SO-62018407,CUST-4886,"arrived damaged",2024-09-17,3161.77
RET-40904467,SO-62064735,CUST-4761,"arrived damaged",2024-08-24,3261.66
RET-02198806,SO-62075974,CUST-4151,"arrived damaged",2025-02-23,6495.94
RET-17461307,SO-62170221,CUST-4329,"arrived damaged",2025-07-18,6931.03
RET-34248995,SO-63221173,CUST-4569,"arrived damaged",2025-05-14,4613.83
RET-17021375,SO-63430882,CUST-4338,"arrived damaged",2024-10-19,1528.76
RET-60490868,SO-63514669,CUST-4781,"arrived damaged",2024-12-12,1985.44
RET-75621800,SO-63724748,CUST-4667,"arrived damaged",2024-09-16,156.04
RET-02856686,SO-63929218,CUST-3563,"arrived damaged",2025-01-02,1456.97
RET-86156247,SO-64123100,CUST-4961,"arrived damaged",2025-01-06,2317.35
RET-05499824,SO-64346011,CUST-5099,"arrived damaged",2024-08-25,1135.54
RET-79483573,SO-64727997,CUST-4941,"arrived damaged",2024-10-13,491.61
RET-65659545,SO-64785459,CUST-4060,"arrived damaged",2025-07-06,2641.27
RET-53974834,SO-64997421,GUEST-100320,"arrived damaged",2025-04-11,9002.27
RET-32046820,SO-65042602,CUST-3769,"arrived damaged",2025-04-12,4856.76
RET-68316753,SO-65288000,CUST-4771,"arrived damaged",2025-07-14,2679.11
RET-75596201,SO-65590629,CUST-4625,"arrived damaged",2025-02-20,2669.52
RET-72102212,SO-65600962,CUST-3778,"arrived damaged",2024-11-30,4723.11
RET-56337739,SO-65917445,CUST-4152,"arrived damaged",2024-10-12,841.7
RET-05089271,SO-65989401,CUST-4179,"arrived damaged",2024-09-14,5151.16
RET-58302284,SO-66001643,CUST-4122,"arrived damaged",2025-04-20,857.76
RET-92192570,SO-66083536,CUST-4089,"arrived damaged",2025-06-05,4031.96
RET-46254229,SO-66173406,CUST-4795,"arrived damaged",2025-04-09,1164.9
RET-86091645,SO-66660963,CUST-3628,"arrived damaged",2025-05-05,3909.55
RET-26566929,SO-67102627,GUEST-100745,"arrived damaged",2025-05-02,81.18
RET-81289325,SO-67206674,CUST-4259,"arrived damaged",2025-02-11,4490.97
RET-30750601,SO-67301076,CUST-4153,"arrived damaged",2024-10-18,4840.22
RET-12599034,SO-67992942,CUST-4857,"arrived damaged",2024-09-07,433.2
RET-24536870,SO-67998539,CUST-5302,"arrived damaged",2025-04-03,3387.42
RET-46158097,SO-68041794,CUST-4204,"arrived damaged",2025-05-15,3595.97
RET-06327794,SO-68441778,CUST-4178,"arrived damaged",2025-03-19,1551.75
RET-63746218,SO-69122842,CUST-4058,"arrived damaged",2025-07-14,1758.42
RET-03772669,SO-69282154,CUST-3879,"arrived damaged",2025-07-21,2010.79
RET-53911338,SO-69764844,CUST-3534,"arrived damaged",2025-07-15,2048.54
RET-12770932,SO-69901961,CUST-4451,"arrived damaged",2025-01-13,4858.61
RET-84358135,SO-70152232,CUST-4802,"arrived damaged",2025-04-26,1382.22
RET-74462519,SO-70990443,CUST-4003,"arrived damaged",2024-09-17,3560.66
RET-84028087,SO-72405090,CUST-3580,"arrived damaged",2024-10-30,3980.47
RET-04785351,SO-72660850,CUST-5158,"arrived damaged",2024-10-08,3665.44
RET-12804387,SO-73417401,GUEST-101200,"arrived damaged",2024-09-18,8992.6
RET-21516892,SO-73802078,CUST-4044,"arrived damaged",2025-07-20,751.87
RET-43641896,SO-73862363,CUST-5199,"arrived damaged",2025-04-06,659.56
RET-79737972,SO-74025039,CUST-3847,"arrived damaged",2024-12-14,568.32
RET-58989181,SO-74640916,CUST-3536,"arrived damaged",2024-08-23,319.35
RET-44473259,SO-74785326,CUST-4790,"arrived damaged",2025-05-21,3697.67
RET-08064598,SO-74824496,CUST-3639,"arrived damaged",2025-05-11,6733.87
RET-62908195,SO-75050453,GUEST-100913,"arrived damaged",2024-10-11,199.7
RET-79143312,SO-75222299,CUST-4021,"arrived damaged",2024-12-10,1128.36
RET-42516362,SO-75304862,CUST-4764,"arrived damaged",2024-09-01,8513.32
RET-69563084,SO-75845873,CUST-5290,"arrived damaged",2025-04-24,2739.06
RET-30505567,SO-75995206,CUST-4415,"arrived damaged",2024-08-19,8554.37
RET-89659927,SO-76209549,CUST-4637,"arrived damaged",2025-04-11,1664.56
RET-57744203,SO-76260685,CUST-4000,"arrived damaged",2024-12-05,8826.84
RET-76447223,SO-76610420,CUST-3493,"arrived damaged",2024-12-30,7647.45
RET-72084181,SO-76642938,CUST-4433,"arrived damaged",2025-01-13,3293.57
RET-49724726,SO-76705548,CUST-4670,"arrived damaged",2025-05-30,1209.64
RET-96380995,SO-76940267,GUEST-100503,"arrived damaged",2025-03-03,1596.5
RET-77617132,SO-77528023,CUST-3879,"arrived damaged",2025-04-28,2020.4
RET-84640863,SO-77770524,CUST-5035,"arrived damaged",2025-03-09,5288.14
RET-38400795,SO-77771364,CUST-4780,"arrived damaged",2025-06-04,5156.84
RET-75469110,SO-77823203,CUST-3857,"arrived damaged",2024-10-17,1907.67
RET-79181629,SO-78021692,CUST-4285,"arrived damaged",2025-07-19,1182.77
RET-87259697,SO-78396409,CUST-4167,"arrived damaged",2025-06-06,1871.19
RET-39768378,SO-78547699,CUST-4277,"arrived damaged",2024-12-01,7118.42
RET-39494387,SO-78811515,CUST-4419,"arrived damaged",2024-08-25,1052.75
RET-63616283,SO-78837651,CUST-4906,"arrived damaged",2025-05-13,7907.77
RET-01377800,SO-79080643,CUST-4832,"arrived damaged",2024-12-23,1243.32
RET-53603417,SO-79346446,CUST-5342,"arrived damaged",2024-08-24,5417.02
RET-02880920,SO-79615392,CUST-4451,"arrived damaged",2024-12-03,8316.77
RET-72373826,SO-79736257,CUST-3452,"arrived damaged",2024-08-18,5891.89
RET-68624642,SO-79859579,CUST-4091,"arrived damaged",2024-09-25,5822.64
RET-57861211,SO-79950264,CUST-4771,"arrived damaged",2024-11-04,109.86
RET-56006312,SO-80061422,CUST-4524,"arrived damaged",2025-02-20,4251.14
RET-00200932,SO-81061616,CUST-3813,"arrived damaged",2025-04-03,3526.2
RET-01534394,SO-81247681,CUST-5241,"arrived damaged",2025-07-20,4033.02
RET-07185225,SO-81428349,CUST-3579,"arrived damaged",2025-01-27,6892.34
RET-63244865,SO-81767913,CUST-3698,"arrived damaged",2025-02-11,5291.2
RET-27568004,SO-81991786,CUST-3826,"arrived damaged",2024-09-14,1813.3
RET-24251280,SO-82014768,CUST-4286,"arrived damaged",2025-07-14,1077.58
RET-46631725,SO-82209519,CUST-4172,"arrived damaged",2025-03-17,1524.74
RET-27700161,SO-82292472,CUST-4785,"arrived damaged",2025-04-14,3845.08
