return_id,product_id,product_name,refunded_amount
RET-74392517,406,"compact monitor",258.09
RET-74392517,599,"rustic lamp",329.64
RET-74392517,812,"interactive car",263.88
RET-74392517,1190,"educational blocks",995.07
RET-74392517,995,"modern anthology",327.32
RET-74392517,237,"compact headphones",30.86
RET-74392517,1133,"portable camera",22.43
RET-22717263,737,"cozy chair",171.21
RET-22717263,923,"wireless monitor",22.4
RET-22717263,605,"comfortable shirt",1595.25
RET-22717263,55,"fun car",33.76
RET-22717263,1088,"elegant chair",482.96
RET-22717263,1117,"compact speaker",193.86
RET-22717263,1092,"elegant chair",1878.4
RET-22717263,1193,"smart headphones",130.22
RET-22717263,933,"modern table",301.64
RET-82031850,459,"stylish sweater",1324.05
RET-82031850,1175,"illustrated anthology",183.2
RET-82031850,303,"interactive doll",774.26
RET-82031850,840,"colorful puzzle",337.45
RET-82031850,1239,"elegant rug",1840.5
RET-82031850,333,"illustrated anthology",1039.32
RET-82031850,705,"smart speaker",224.98
RET-82031850,79,"durable sweater",746.19
RET-82031850,1137,"stylish jacket",346.22
RET-70080028,820,"compact monitor",143.1
RET-70080028,601,"compact speaker",1281.66
RET-28385308,340,"comfortable shirt",69.18
RET-28385308,481,"classic anthology",1227.32
RET-28385308,1266,"elegant table",976.82
RET-28385308,1225,"modern table",839.22
RET-28385308,42,"wireless speaker",688.54
RET-28385308,547,"illustrated anthology",186.32
RET-28385308,964,"fun blocks",394.64
RET-28385308,786,"portable speaker",134.27
RET-28385308,183,"wireless headphones",326.02
RET-94103481,607,"stylish sweater",478.02
RET-94103481,1155,"rustic table",1216.15
RET-94103481,66,"smart monitor",151.08
RET-94103481,174,"classic memoir",859.1
RET-94103481,820,"compact monitor",71.55
RET-94103481,660,"portable speaker",480.12
RET-94103481,849,"elegant chair",58.5
RET-94103481,575,"colorful blocks",1469.16
RET-94103481,1285,"colorful blocks",651.3
RET-91538921,19,"colorful blocks",58.23
RET-91538921,971,"rustic table",463.42
RET-91538921,60,"compact camera",232.1
RET-91538921,343,"compact speaker",455.77
RET-17809615,1254,"hardcover novel",273.36
RET-17809615,12,"classic sweater",813.96
RET-17809615,467,"compact monitor",334.98
RET-97399674,1226,"stylish jacket",882.36
RET-97399674,598,"fun puzzle",905.32
RET-74330111,1210,"classic memoir",473.06
RET-74330111,662,"colorful blocks",22.0
RET-74330111,30,"wireless monitor",1232.88
RET-60220882,984,"elegant table",1155.24
RET-60220882,1127,"modern anthology",1328.96
RET-60220882,418,"illustrated memoir",1041.72
RET-60220882,1051,"portable camera",1597.24
RET-60220882,190,"cozy lamp",839.65
RET-28159262,201,"durable jacket",2149.45
RET-28159262,581,"interactive car",1675.52
RET-77933996,880,"wireless camera",259.12
RET-77933996,780,"rustic chair",771.15
RET-77933996,24,"compact headphones",358.2
RET-77933996,1182,"educational doll",273.19
RET-10625146,16,"educational blocks",794.62
RET-10625146,48,"classic memoir",994.74
RET-10625146,109,"interactive blocks",608.44
RET-10625146,1059,"educational puzzle",800.04
RET-80053567,930,"smart camera",289.9
RET-80053567,69,"elegant table",1664.3
RET-80053567,969,"rustic lamp",382.34
RET-80053567,286,"interactive blocks",654.12
RET-80053567,60,"compact camera",232.1
RET-80053567,371,"rustic table",517.36
RET-80053567,671,"durable sweater",97.69
RET-80053567,746,"elegant chair",1231.05
RET-80053567,911,"illustrated anthology",70.42
RET-01468861,1265,"classic jeans",15.53
RET-01468861,983,"classic jacket",667.64
RET-01468861,1152,"modern table",730.56
RET-01468861,1056,"illustrated guide",237.75
RET-01468861,13,"smart monitor",44.52
RET-01468861,720,"modern memoir",457.54
RET-01468861,897,"durable shirt",1816.55
RET-01468861,308,"classic jacket",814.0
RET-01468861,1047,"portable camera",705.28
RET-01468861,56,"wireless headphones",843.86
RET-38686406,264,"hardcover novel",597.1
RET-38686406,577,"interactive puzzle",411.09
RET-38686406,712,"compact camera",1477.36
RET-09530843,277,"durable sweater",269.13
RET-16102870,812,"interactive car",1055.52
RET-16102870,1281,"fun puzzle",220.5
RET-16102870,828,"interactive car",1830.9
RET-16102870,686,"wireless monitor",590.64
RET-16102870,974,"stylish jeans",847.48
RET-16102870,1002,"classic jacket",844.05
RET-63083537,282,"elegant table",1389.69
RET-63083537,421,"rustic table",3606.6
RET-63083537,26,"fun blocks",117.12
RET-63083537,492,"cozy chair",149.95
RET-63083537,877,"stylish shirt",1012.14
RET-63083537,475,"educational car",84.05
RET-63083537,725,"colorful puzzle",346.31
RET-63083537,1118,"modern rug",1539.6
RET-33851382,704,"portable speaker",172.78
RET-33851382,696,"colorful blocks",268.03
RET-33851382,1111,"modern memoir",832.22
RET-33851382,1003,"classic guide",308.08
RET-73592283,1268,"cozy lamp",58.82
RET-73592283,261,"fun puzzle",96.29
RET-73592283,707,"interactive doll",515.91
RET-73592283,276,"fun puzzle",78.5
RET-73592283,591,"rustic rug",757.94
RET-73592283,1208,"portable camera",254.91
RET-73592283,316,"portable monitor",31.24
RET-73592283,177,"educational puzzle",209.33
RET-73592283,105,"compact headphones",306.32
RET-98985136,380,"elegant table",1206.8
RET-98985136,53,"durable sweater",134.27
RET-98985136,76,"interactive puzzle",993.04
RET-98985136,899,"compact monitor",402.67
RET-98985136,653,"classic sweater",1065.8
RET-98985136,1220,"classic anthology",1149.72
RET-98985136,370,"modern guide",1196.85
RET-98985136,568,"classic anthology",694.17
RET-98985136,1183,"educational doll",496.17
RET-23861402,642,"colorful blocks",476.04
RET-23861402,375,"cozy rug",425.39
RET-17563532,730,"durable jacket",1684.96
RET-17563532,273,"interactive doll",882.66
RET-17563532,1082,"elegant table",341.64
RET-17563532,1104,"elegant lamp",425.41
RET-17563532,325,"classic memoir",98.98
RET-17563532,76,"interactive puzzle",496.52
RET-81587154,675,"fun puzzle",160.74
RET-81587154,850,"compact camera",689.18
RET-81587154,274,"colorful blocks",873.69
RET-47740817,613,"compact camera",137.91
RET-47740817,122,"elegant lamp",117.02
RET-47740817,1164,"wireless speaker",654.3
RET-74185508,837,"hardcover novel",27.39
RET-74185508,272,"portable speaker",1636.55
RET-74185508,1240,"fun doll",269.5
RET-74185508,878,"rustic chair",2143.6
RET-74185508,1130,"fun car",426.47
RET-74185508,1234,"comfortable jeans",1308.93
RET-74185508,412,"fun puzzle",720.0
RET-52586736,163,"compact monitor",467.68
RET-71190909,931,"cozy lamp",1193.85
RET-71190909,65,"fun puzzle",43.32
RET-71190909,594,"compact headphones",196.7
RET-71190909,3,"fun car",1139.94
RET-13598938,517,"portable speaker",382.68
RET-13598938,123,"elegant lamp",94.56
RET-88629191,141,"smart speaker",250.48
RET-88629191,5,"illustrated guide",267.35
RET-88629191,490,"fun blocks",1292.28
RET-88629191,225,"fun doll",1848.25
RET-88629191,968,"fun car",629.22
RET-88629191,792,"educational blocks",49.38
RET-88629191,944,"colorful blocks",500.98
RET-88629191,392,"educational blocks",146.73
RET-97866584,1228,"fun doll",385.2
RET-97866584,1013,"compact speaker",181.31
RET-97866584,815,"illustrated memoir",375.64
RET-97866584,457,"colorful doll",728.76
RET-97866584,20,"colorful puzzle",486.04
RET-97866584,116,"rustic chair",903.15
RET-97866584,275,"classic memoir",922.98
RET-06223931,946,"compact camera",629.73
RET-06223931,75,"colorful doll",780.44
RET-06223931,1161,"stylish sweater",17.75
RET-06223931,1183,"educational doll",496.17
RET-06223931,495,"smart headphones",134.14
RET-06223931,290,"stylish sweater",289.63
RET-06223931,696,"colorful blocks",268.03
RET-30834952,265,"durable shirt",999.9
RET-89195772,828,"interactive car",1830.9
RET-89195772,989,"hardcover guide",2026.2
RET-89195772,970,"smart camera",312.74
RET-89195772,314,"portable monitor",1591.24
RET-89195772,752,"elegant table",878.36
RET-89195772,594,"compact headphones",78.68
RET-89195772,618,"smart headphones",536.62
RET-89195772,580,"classic guide",794.9
RET-95826530,586,"hardcover anthology",491.22
RET-95826530,424,"comfortable jacket",1314.28
RET-95826530,1155,"rustic table",729.69
RET-95826530,682,"smart headphones",1405.14
RET-95826530,366,"illustrated guide",645.24
RET-95826530,445,"portable monitor",657.94
RET-95826530,912,"cozy table",355.2
RET-02526588,571,"elegant chair",496.8
RET-02526588,882,"fun doll",394.4
RET-95191688,970,"smart camera",1563.7
RET-95191688,634,"educational doll",245.6
RET-95191688,279,"comfortable shirt",638.0
RET-95191688,748,"classic jeans",312.81
RET-95191688,870,"colorful blocks",1622.5
RET-95191688,933,"modern table",904.92
RET-08061458,209,"comfortable jacket",163.4
RET-69899872,1076,"colorful car",131.28
RET-69899872,813,"modern anthology",229.21
RET-69899872,538,"cozy table",625.89
RET-69899872,250,"fun puzzle",663.08
RET-69899872,528,"cozy lamp",931.59
RET-69899872,1232,"comfortable shirt",271.46
RET-76004359,137,"modern lamp",441.62
RET-75062924,440,"modern anthology",362.78
RET-75062924,626,"compact speaker",273.7
RET-75062924,1215,"hardcover memoir",56.7
RET-26566929,616,"rustic rug",81.18
RET-82070069,540,"modern guide",478.63
RET-48365763,405,"modern guide",223.83
RET-48365763,1080,"smart camera",224.96
RET-48365763,697,"cozy table",570.03
RET-48365763,89,"classic novel",993.4
RET-48365763,911,"illustrated anthology",352.1
RET-48365763,173,"wireless monitor",1058.67
RET-48365763,891,"wireless camera",428.6
RET-48365763,368,"fun doll",972.8
RET-48365763,114,"stylish shirt",417.51
RET-24896787,762,"classic jacket",667.22
RET-24896787,991,"modern guide",291.33
RET-01289979,1191,"compact headphones",448.94
RET-01289979,1283,"fun car",193.59
RET-01289979,371,"rustic table",1034.72
RET-01289979,1200,"classic jeans",1926.84
RET-01289979,1110,"elegant chair",468.12
RET-01289979,730,"durable jacket",421.24
RET-87544724,776,"educational car",847.86
RET-59396035,1175,"illustrated anthology",183.2
RET-59396035,215,"educational car",625.5
RET-64797791,412,"fun puzzle",360.0
RET-64797791,6,"colorful blocks",85.28
RET-64797791,165,"modern rug",204.72
RET-64797791,879,"fun car",607.7
RET-88931132,348,"cozy lamp",200.98
RET-88931132,91,"modern chair",88.4
RET-88931132,69,"elegant table",665.72
RET-88931132,63,"elegant rug",84.82
RET-79801977,1197,"elegant table",701.04
RET-79801977,559,"modern rug",213.96
RET-79801977,1238,"modern rug",584.72
RET-79801977,729,"smart monitor",89.17
RET-79801977,1251,"smart camera",490.57
RET-79801977,1051,"portable camera",798.62
RET-24261158,867,"stylish jacket",472.7
RET-24261158,1179,"durable jeans",2494.95
RET-24261158,437,"wireless camera",1549.76
RET-24261158,1261,"educational doll",1115.88
RET-24261158,982,"classic jeans",232.7
RET-24261158,370,"modern guide",1595.8
RET-24261158,1139,"modern guide",72.12
RET-24261158,342,"smart camera",247.06
RET-24261158,818,"compact monitor",920.2
RET-24261158,398,"interactive blocks",435.22
RET-45064164,1098,"portable speaker",635.8
RET-45064164,730,"durable jacket",842.48
RET-45064164,556,"classic jacket",156.22
RET-45064164,742,"interactive car",79.69
RET-99010709,799,"educational car",237.8
RET-99010709,1002,"classic jacket",675.24
RET-99010709,117,"compact monitor",1088.56
RET-99010709,392,"educational blocks",146.73
RET-79790765,890,"comfortable shirt",1437.12
RET-79790765,171,"modern anthology",346.96
RET-48381764,1028,"comfortable shirt",685.45
RET-48381764,84,"modern memoir",1480.62
RET-48381764,461,"cozy rug",219.44
RET-48381764,666,"smart speaker",1181.6
RET-48381764,1266,"elegant table",488.41
RET-48381764,410,"cozy chair",339.39
RET-79313173,712,"compact camera",369.34
RET-03455994,283,"colorful car",318.82
RET-03455994,1280,"modern guide",732.44
RET-03455994,257,"colorful blocks",206.44
RET-03455994,1044,"colorful car",404.48
RET-03455994,832,"classic jacket",319.98
RET-03455994,1124,"portable speaker",1362.12
RET-03455994,655,"modern novel",493.45
RET-11227605,557,"stylish jeans",394.86
RET-53974834,323,"hardcover guide",877.08
RET-53974834,132,"cozy lamp",1406.8
RET-53974834,916,"educational doll",737.85
RET-53974834,358,"rustic rug",91.87
RET-53974834,143,"educational blocks",678.24
RET-53974834,382,"wireless monitor",2037.4
RET-53974834,1010,"modern anthology",305.51
RET-53974834,847,"interactive blocks",434.42
RET-53974834,1030,"compact speaker",2433.1
RET-24695029,1094,"comfortable sweater",939.42
RET-24695029,1278,"cozy chair",1626.65
RET-24695029,465,"classic jacket",475.44
RET-24695029,1145,"portable monitor",377.13
RET-24695029,307,"hardcover novel",177.4
RET-24695029,189,"interactive puzzle",53.2
RET-87315964,1232,"comfortable shirt",542.92
RET-87315964,1074,"stylish jeans",272.92
RET-87315964,1050,"rustic table",222.38
RET-97617828,1221,"colorful blocks",522.6
RET-97617828,860,"modern rug",830.88
RET-97617828,1019,"fun doll",155.44
RET-97617828,1278,"cozy chair",975.99
RET-29821767,1130,"fun car",2132.35
RET-29821767,395,"portable headphones",1782.5
RET-29821767,978,"compact speaker",1435.12
RET-29821767,316,"portable monitor",15.62
RET-29821767,124,"classic jeans",1110.39
RET-29821767,374,"interactive blocks",425.7
RET-29821767,702,"smart headphones",463.2
RET-29821767,320,"portable speaker",376.35
RET-63469742,1028,"comfortable shirt",411.27
RET-63469742,615,"comfortable sweater",1240.8
RET-63469742,1071,"durable jacket",185.78
RET-63469742,843,"cozy lamp",833.64
RET-63469742,1236,"modern guide",46.55
RET-63469742,796,"elegant table",949.89
RET-63469742,1259,"portable monitor",1604.7
RET-63469742,244,"durable jeans",258.2
RET-63469742,326,"colorful doll",1563.56
RET-63469742,1003,"classic guide",154.04
RET-88983192,865,"durable sweater",412.8
RET-88983192,319,"wireless monitor",1228.17
RET-50984896,899,"compact monitor",402.67
RET-50984896,324,"stylish shirt",173.62
RET-50984896,342,"smart camera",247.06
RET-50984896,1207,"interactive puzzle",302.83
RET-50984896,283,"colorful car",478.23
RET-50984896,499,"interactive doll",1281.81
RET-50984896,330,"classic sweater",850.34
RET-02962727,763,"comfortable jeans",249.01
RET-16567002,927,"hardcover memoir",1567.56
RET-16567002,1179,"durable jeans",997.98
RET-16567002,997,"cozy lamp",427.88
RET-16567002,1257,"comfortable jacket",396.6
RET-01645612,1140,"colorful puzzle",1926.96
RET-01645612,1083,"cozy chair",849.12
RET-01645612,705,"smart speaker",337.47
RET-01645612,208,"interactive doll",704.94
RET-01645612,265,"durable shirt",499.95
RET-01645612,239,"hardcover memoir",249.21
RET-01645612,1276,"rustic lamp",137.19
RET-01645612,321,"modern lamp",626.94
RET-00279232,192,"hardcover novel",375.75
RET-00279232,174,"classic memoir",859.1
RET-00279232,761,"elegant lamp",1093.76
RET-00279232,310,"classic memoir",922.68
RET-00279232,1259,"portable monitor",1604.7
RET-00279232,826,"wireless camera",2288.7
RET-00279232,941,"interactive blocks",2304.35
RET-00279232,345,"classic sweater",252.78
RET-00279232,379,"classic shirt",583.68
RET-41474365,759,"wireless headphones",753.6
RET-41474365,783,"modern guide",247.29
RET-50104729,893,"classic novel",138.96
RET-50104729,947,"cozy lamp",36.8
RET-50104729,208,"interactive doll",704.94
RET-50104729,1150,"portable headphones",712.22
RET-32825597,86,"wireless headphones",120.2
RET-32825597,17,"elegant rug",1129.92
RET-32825597,242,"wireless monitor",150.72
RET-60886444,138,"compact headphones",358.76
RET-60886444,2,"classic jeans",183.25
RET-27986695,925,"colorful car",884.96
RET-27986695,221,"hardcover guide",702.76
RET-27986695,453,"classic jeans",1228.6
RET-27986695,1016,"wireless speaker",1426.44
RET-14804387,897,"durable shirt",363.31
RET-14804387,564,"elegant chair",24.52
RET-14804387,360,"rustic table",606.84
RET-14804387,1253,"hardcover novel",818.04
RET-92134179,443,"modern novel",1790.08
RET-92134179,245,"classic sweater",1267.26
RET-92134179,135,"durable jeans",743.4
RET-92134179,754,"durable sweater",1018.6
RET-92134179,818,"compact monitor",1380.3
RET-10289942,1048,"modern chair",459.98
RET-29625262,192,"hardcover novel",1878.75
RET-15809915,1229,"illustrated novel",206.7
RET-03666544,916,"educational doll",1229.75
RET-03666544,761,"elegant lamp",1093.76
RET-03666544,863,"smart headphones",444.39
RET-03666544,89,"classic novel",1241.75
RET-03666544,1012,"rustic rug",440.58
RET-03666544,423,"comfortable shirt",71.7
RET-03666544,478,"elegant table",78.78
RET-03666544,687,"portable monitor",942.96
RET-88625398,508,"educational car",407.97
RET-88625398,471,"colorful doll",1458.12
RET-88625398,1179,"durable jeans",2494.95
RET-88625398,345,"classic sweater",126.39
RET-88625398,543,"modern lamp",829.0
RET-88625398,94,"classic sweater",970.44
RET-88625398,1142,"classic anthology",1992.2
RET-88625398,1281,"fun puzzle",88.2
RET-88625398,692,"portable camera",93.66
RET-88625398,1178,"wireless headphones",357.99
RET-85437242,872,"comfortable shirt",679.71
RET-71730894,873,"comfortable sweater",498.27
RET-71730894,1281,"fun puzzle",44.1
RET-71730894,848,"modern anthology",2233.5
RET-71730894,397,"modern chair",277.82
RET-71730894,1096,"educational car",120.67
RET-71730894,456,"cozy table",528.7
RET-71730894,102,"classic guide",1386.0
RET-71730894,586,"hardcover anthology",982.44
RET-12804387,9,"hardcover anthology",699.81
RET-12804387,965,"smart speaker",1886.4
RET-12804387,698,"classic anthology",617.1
RET-12804387,705,"smart speaker",112.49
RET-12804387,500,"elegant rug",851.82
RET-12804387,165,"modern rug",511.8
RET-12804387,577,"interactive puzzle",548.12
RET-12804387,386,"durable shirt",1544.0
RET-12804387,364,"classic sweater",1418.44
RET-12804387,212,"comfortable jacket",802.62
RET-55180596,802,"wireless monitor",336.61
RET-55180596,302,"stylish shirt",362.25
RET-55180596,747,"comfortable sweater",408.4
RET-55180596,754,"durable sweater",814.88
RET-55180596,226,"modern rug",118.28
RET-36487941,828,"interactive car",366.18
RET-36487941,1174,"interactive car",494.41
RET-36487941,884,"durable shirt",214.79
RET-36487941,507,"elegant lamp",330.6
RET-36487941,1063,"interactive puzzle",392.53
RET-36487941,298,"compact monitor",782.34
RET-36487941,982,"classic jeans",46.54
RET-36487941,1007,"durable jacket",173.81
RET-36487941,251,"wireless headphones",305.45
RET-26909082,1156,"smart camera",1984.75
RET-26909082,1234,"comfortable jeans",2181.55
RET-26909082,827,"fun doll",2163.65
RET-26909082,539,"hardcover anthology",490.16
RET-26909082,912,"cozy table",1420.8
RET-26909082,84,"modern memoir",493.54
RET-26909082,675,"fun puzzle",160.74
RET-26909082,214,"elegant table",2469.4
RET-27750244,33,"educational car",907.18
RET-47067676,388,"comfortable sweater",208.8
RET-67803264,1120,"cozy chair",976.32
RET-67803264,997,"cozy lamp",2139.4
RET-67803264,1236,"modern guide",46.55
RET-67803264,995,"modern anthology",1636.6
RET-67803264,254,"portable monitor",502.38
RET-67803264,438,"educational doll",1639.6
RET-67803264,1220,"classic anthology",862.29
RET-67803264,1067,"portable camera",1156.5
RET-67803264,115,"durable jacket",557.56
RET-76668383,1186,"compact speaker",230.84
RET-60594360,969,"rustic lamp",573.51
RET-60594360,1125,"durable sweater",957.74
RET-32757088,90,"smart camera",388.3
RET-85590278,865,"durable sweater",1651.2
RET-85590278,631,"modern lamp",102.04
RET-85590278,845,"illustrated memoir",438.14
RET-53052080,1167,"illustrated memoir",1223.4
RET-53052080,1152,"modern table",365.28
RET-53052080,498,"modern lamp",324.99
RET-53052080,525,"colorful car",395.34
RET-53052080,24,"compact headphones",1432.8
RET-53052080,377,"modern chair",1377.18
RET-16423928,609,"rustic table",2031.45
RET-16423928,779,"fun puzzle",126.92
RET-16423928,986,"illustrated novel",242.36
RET-16423928,946,"compact camera",419.82
RET-32141348,850,"compact camera",344.59
RET-32141348,107,"modern memoir",935.12
RET-32141348,958,"classic guide",329.46
RET-32141348,770,"classic sweater",248.97
RET-32141348,1251,"smart camera",490.57
RET-72044490,370,"modern guide",398.95
RET-72044490,1188,"cozy table",970.7
RET-72044490,812,"interactive car",791.64
RET-72044490,412,"fun puzzle",360.0
RET-91574650,691,"modern novel",189.66
RET-91574650,1148,"educational car",83.28
RET-91574650,442,"elegant chair",973.38
RET-91574650,1167,"illustrated memoir",407.8
RET-91574650,990,"smart monitor",161.3
RET-03986576,779,"fun puzzle",253.84
RET-61233675,140,"stylish jeans",46.54
RET-61233675,818,"compact monitor",460.1
RET-31700593,1037,"modern novel",146.63
RET-31700593,962,"rustic rug",345.95
RET-31700593,565,"durable shirt",181.8
RET-54637051,332,"cozy table",951.46
RET-54637051,580,"classic guide",1192.35
RET-54637051,799,"educational car",59.45
RET-54637051,628,"fun doll",473.2
RET-54637051,1063,"interactive puzzle",785.06
RET-83415359,646,"modern chair",162.33
RET-83415359,1030,"compact speaker",973.24
RET-83415359,898,"fun blocks",126.62
RET-24869787,951,"wireless camera",24.14
RET-24869787,377,"modern chair",918.12
RET-24869787,142,"durable shirt",368.37
RET-24869787,776,"educational car",2119.65
RET-24869787,1162,"elegant chair",70.15
RET-24869787,141,"smart speaker",1252.4
RET-24869787,1059,"educational puzzle",400.02
RET-24869787,963,"rustic lamp",2055.15
RET-24869787,454,"smart headphones",1068.0
RET-96463165,790,"durable shirt",1423.02
RET-96463165,402,"illustrated novel",59.8
RET-96463165,776,"educational car",847.86
RET-80656356,188,"compact speaker",451.32
RET-80656356,890,"comfortable shirt",1916.16
RET-80656356,1054,"rustic chair",980.19
RET-98929436,605,"comfortable shirt",638.1
RET-39493069,941,"interactive blocks",1382.61
RET-39493069,1057,"stylish sweater",20.52
RET-39493069,52,"interactive blocks",448.67
RET-39493069,939,"elegant table",153.36
RET-39493069,319,"wireless monitor",818.78
RET-39493069,286,"interactive blocks",436.08
RET-89722713,194,"interactive blocks",349.51
RET-89722713,1051,"portable camera",798.62
RET-67588323,581,"interactive car",837.76
RET-67588323,647,"durable sweater",1244.25
RET-67588323,1169,"illustrated guide",439.06
RET-60081998,1267,"durable jacket",1553.64
RET-60081998,398,"interactive blocks",1088.05
RET-60081998,494,"stylish shirt",805.2
RET-60081998,88,"illustrated guide",749.36
RET-60081998,192,"hardcover novel",375.75
RET-60081998,58,"portable headphones",402.09
RET-58075518,1079,"colorful car",326.47
RET-58075518,506,"wireless headphones",45.4
RET-58075518,529,"educational puzzle",73.16
RET-58075518,406,"compact monitor",172.06
RET-58075518,609,"rustic table",1218.87
RET-58075518,41,"fun blocks",831.44
RET-58075518,436,"comfortable sweater",254.87
RET-85837961,670,"modern chair",1332.39
RET-85837961,1197,"elegant table",876.3
RET-85837961,1005,"classic anthology",1972.9
RET-85837961,1226,"stylish jacket",1176.48
RET-36751208,402,"illustrated novel",119.6
RET-36751208,530,"rustic chair",2189.2
RET-36751208,1190,"educational blocks",663.38
RET-36751208,770,"classic sweater",995.88
RET-36751208,8,"wireless headphones",250.46
RET-36751208,266,"hardcover guide",128.72
RET-36751208,1210,"classic memoir",1182.65
RET-36751208,654,"colorful puzzle",2272.75
RET-16656288,364,"classic sweater",354.61
RET-16656288,554,"elegant chair",812.25
RET-16656288,400,"modern lamp",253.56
RET-16656288,356,"cozy rug",386.27
RET-12937298,526,"classic sweater",129.61
RET-12937298,966,"compact speaker",109.55
RET-12937298,770,"classic sweater",248.97
RET-12937298,336,"fun car",1418.4
RET-12937298,1171,"illustrated anthology",888.52
RET-37951534,793,"smart monitor",367.82
RET-37951534,1113,"fun doll",1147.11
RET-37951534,528,"cozy lamp",310.53
RET-37951534,1176,"compact monitor",752.82
RET-37951534,113,"cozy rug",231.84
RET-63503690,476,"comfortable jacket",1703.3
RET-63503690,1035,"hardcover novel",86.12
RET-63503690,307,"hardcover novel",141.92
RET-63503690,426,"fun blocks",1167.88
RET-63503690,1233,"classic anthology",735.12
RET-63503690,913,"modern guide",1487.52
RET-17141537,533,"modern memoir",208.92
RET-17141537,158,"modern lamp",450.39
RET-17141537,625,"modern novel",216.76
RET-17141537,790,"durable shirt",474.34
RET-17141537,715,"elegant table",333.13
RET-17141537,281,"smart camera",430.1
RET-17141537,822,"stylish shirt",369.3
RET-17141537,1026,"stylish jacket",245.36
RET-53003543,699,"interactive blocks",998.32
RET-53003543,1058,"comfortable sweater",487.42
RET-53003543,614,"modern table",1926.04
RET-53003543,200,"portable speaker",437.05
RET-53003543,122,"elegant lamp",175.53
RET-01066772,673,"wireless headphones",1219.08
RET-01066772,151,"educational doll",931.34
RET-01066772,1085,"elegant lamp",882.3
RET-01066772,900,"hardcover novel",1670.75
RET-01066772,392,"educational blocks",97.82
RET-02125246,365,"modern chair",342.58
RET-02125246,51,"illustrated novel",625.26
RET-02125246,117,"compact monitor",272.14
RET-02125246,779,"fun puzzle",380.76
RET-02125246,112,"modern table",180.72
RET-02125246,1103,"rustic lamp",601.4
RET-02125246,324,"stylish shirt",347.24
RET-02125246,597,"fun puzzle",111.27
RET-73197169,474,"classic jeans",70.83
RET-73197169,271,"portable speaker",340.2
RET-73197169,802,"wireless monitor",673.22
RET-73197169,207,"educational doll",394.2
RET-73197169,1020,"educational blocks",170.01
RET-38449988,429,"interactive blocks",787.68
RET-38449988,1062,"portable speaker",431.68
RET-38449988,485,"illustrated guide",240.35
RET-38449988,20,"colorful puzzle",364.53
RET-38449988,639,"classic novel",735.76
RET-38449988,361,"elegant lamp",380.72
RET-38449988,547,"illustrated anthology",186.32
RET-38449988,637,"compact monitor",158.14
RET-38449988,593,"colorful blocks",340.23
RET-38449988,577,"interactive puzzle",548.12
RET-05731050,432,"stylish sweater",439.88
RET-05731050,654,"colorful puzzle",454.55
RET-05731050,1058,"comfortable sweater",243.71
RET-05731050,220,"educational car",123.84
RET-05731050,311,"smart camera",360.36
RET-05731050,1021,"classic shirt",52.21
RET-31983412,172,"elegant chair",37.14
RET-31983412,168,"compact monitor",749.92
RET-31983412,1008,"modern memoir",323.34
RET-31983412,958,"classic guide",988.38
